"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/measurements_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/measurements.csv?datainfo&rowcount&base_name=Bivalvia,%20Gastropoda,%20Brachiopoda&interval=Cenozoic"
"Access Time","Fri 2025-12-12 13:55:29 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Bivalvia, Gastropoda, Brachiopoda"
"","interval","Cenozoic"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","1.18"
"Records Found","6076"
"Records Returned","6076"
"Records:"
"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"23276","11555","mea","1","","length","42","",""
"23277","11555","mea","1","","width","32","",""
"23299","11572","mea","1","","width","9.0","",""
"23300","11572","mea","1","","length","10.5","",""
"23301","11573","mea","1","","width","15.0","",""
"23302","11573","mea","1","","length","26.5","",""
"23303","11574","mea","1","","width","13.0","",""
"23304","11574","mea","1","","length","22.0","",""
"26399","13143","mea","1","","length","115.6","",""
"26400","13144","mea","1","","length","107","",""
"26401","13145","mea","1","","length","85","",""
"26402","13146","mea","1","","length","50.9","",""
"26403","13147","mea","1","","length","47.9","",""
"26405","13149","mea","1","","length","53.9","",""
"26406","13150","mea","1","","length","69.1","",""
"26407","13151","mea","1","","length","39","",""
"26408","13152","mea","1","","length","47","",""
"26409","13153","mea","1","","length","61.5","",""
"26410","13154","mea","1","","length","83","",""
"26738","13332","mea","1","","width","20","",""
"26739","13332","mea","1","condylobasal","length","31","",""
"26740","13333","mea","1","","width","7","",""
"26741","13333","mea","1","","length","23.5","",""
"26742","13334","mea","1","","width","35","",""
"26743","13334","mea","1","","length","44","",""
"26744","13335","mea","1","","length","33","",""
"26745","13335","mea","1","","width","19","",""
"26746","13336","mea","1","condylobasal","length","28","",""
"26747","13337","mea","1","","length","17","",""
"26748","13337","mea","1","","width","6","",""
"26749","13338","mea","1","","width","7","",""
"26750","13339","mea","1","","width","22","",""
"26751","13339","mea","1","","length","64","",""
"26752","13340","mea","1","","width","25","",""
"26753","13340","mea","1","","length","39","",""
"26754","13341","mea","1","","width","7.5","",""
"26755","13342","mea","1","","width","33","",""
"26756","13343","mea","1","","width","7.5","",""
"26757","13343","mea","1","","length","11","",""
"26758","13344","mea","1","","width","36","",""
"26759","13345","mea","1","","length","46","",""
"26760","13346","mea","1","","length","31","",""
"26761","13347","mea","1","","width","11","",""
"26762","13348","mea","1","","length","17.5","",""
"26763","13349","mea","1","","width","17","",""
"26764","13349","mea","1","","length","43","",""
"26765","13350","mea","1","","width","29","",""
"26766","13350","mea","1","","length","62","",""
"26767","13351","mea","1","","width","34","",""
"26768","13352","mea","1","","width","7.4","",""
"26769","13353","mea","1","","length","49","",""
"26770","13354","mea","1","","width","6,5","",""
"26771","13355","mea","1","","width","114","",""
"26772","13356","mea","1","","width","67","",""
"26773","13357","mea","1","","length","96","",""
"26774","13358","mea","1","","length","47.5","",""
"26775","13358","mea","1","","width","36","",""
"26776","13359","mea","1","","length","43.5","",""
"26777","13359","mea","1","","width","30.4","",""
"26778","13360","mea","1","","length","42.5","",""
"26779","13360","mea","1","","width","34","",""
"26780","13361","mea","1","","width","35.5","",""
"26781","13362","mea","1","","length","53","",""
"26782","13362","mea","1","","width","38.5","",""
"26960","13453","mea","1","","width","10.6","",""
"26961","13453","mea","1","","length","12.5","",""
"26962","13454","mea","1","","width","13.0","",""
"26963","13454","mea","1","","length","14.9","",""
"26964","13455","mea","1","","width","13.5","",""
"26965","13455","mea","1","","length","15.6","",""
"26966","13456","mea","1","","width","13.0","",""
"26967","13456","mea","1","","length","14.9","",""
"26974","13460","mea","1","","width","7.6","",""
"26975","13460","mea","1","","length","8.0","",""
"26976","13461","mea","1","","width","10.4","",""
"26977","13461","mea","1","","length","10.7","",""
"26978","13462","mea","1","","width","11.4","",""
"26979","13462","mea","1","","length","12.6","",""
"26980","13463","mea","1","","length","12.0","",""
"26981","13463","mea","1","","width","12.1","",""
"26982","13464","mea","1","","width","24.2","",""
"26983","13464","mea","1","","length","25.5","",""
"26984","13465","mea","1","","length","14.0","",""
"26985","13465","mea","1","","width","11.5","",""
"26986","13466","mea","1","","width","4.1","",""
"26987","13466","mea","1","","length","8.0","",""
"26988","13467","mea","1","","width","5.0","",""
"26989","13467","mea","1","","length","5.4","",""
"26990","13468","mea","1","","width","23.6","",""
"26991","13468","mea","1","","length","41.4","",""
"26992","13469","mea","1","","width","25.0","",""
"26993","13469","mea","1","","length","42.5","",""
"26994","13470","mea","1","","length","21","",""
"26995","13470","mea","1","","width","19.5","",""
"26996","13471","mea","1","","width","19.0","",""
"26997","13471","mea","1","","length","26.2","",""
"26998","13472","mea","1","","width","30.4","",""
"26999","13472","mea","1","","length","30.6","",""
"27000","13473","mea","1","","width","39.5","",""
"27001","13473","mea","1","","length","57.7","",""
"27002","13474","mea","1","","length","56.1","",""
"27003","13474","mea","1","","width","39.8","",""
"27004","13475","mea","1","","length","33.7","",""
"27005","13475","mea","1","","width","25","",""
"27006","13476","mea","1","","length","33.5","",""
"27007","13476","mea","1","","width","24","",""
"27008","13477","mea","1","","length","24.5","",""
"27009","13477","mea","1","","width","19.8","",""
"27010","13478","mea","1","","length","49","",""
"27011","13478","mea","1","","width","51","",""
"27012","13479","mea","1","","length","44.0","",""
"27013","13479","mea","1","","width","43.1","",""
"27014","13480","mea","1","","length","26.9","",""
"27015","13480","mea","1","","width","22.7","",""
"27016","13481","mea","1","","length","33.2","",""
"27017","13481","mea","1","","width","27.0","",""
"27018","13482","mea","1","","length","33.7","",""
"27019","13482","mea","1","","width","25.0","",""
"27020","13483","mea","1","","length","32","",""
"27021","13483","mea","1","","width","41","",""
"27026","13486","mea","1","","length","33.1","",""
"27027","13486","mea","1","","width","29.0","",""
"27028","13487","mea","1","","length","31.8","",""
"27029","13487","mea","1","","width","27.1","",""
"27030","13488","mea","1","","length","34.8","",""
"27031","13488","mea","1","","width","27.2","",""
"27032","13489","mea","1","","length","36.6","",""
"27033","13489","mea","1","","width","29.5","",""
"27034","13490","mea","1","","width","36.2","",""
"27035","13490","mea","1","","length","42.2","",""
"27036","13491","mea","1","","width","37.2","",""
"27037","13491","mea","1","","length","40","",""
"27042","13494","mea","1","","length","7.5","",""
"27043","13494","mea","1","","width","5.0","",""
"27044","13495","mea","1","","length","10.4","",""
"27045","13495","mea","1","","width","7.7","",""
"27046","13496","mea","1","","length","7.5","",""
"27047","13496","mea","1","","width","5.1","",""
"27048","13497","mea","1","","length","8.1","",""
"27049","13497","mea","1","","width","5.3","",""
"27050","13498","mea","1","","length","14.0","",""
"27051","13498","mea","1","","width","25.6","",""
"27052","13499","mea","1","","width","3.2","",""
"27053","13499","mea","1","","length","1.4","",""
"27054","13500","mea","1","","length","15.0","",""
"27055","13500","mea","1","","width","5.1","",""
"27056","13501","mea","1","","width","20.0","",""
"27057","13501","mea","1","","length","34.3","",""
"27058","13502","mea","1","","length","69.2","",""
"27059","13502","mea","1","","width","18.1","",""
"27060","13503","mea","1","","width","12.7","",""
"27061","13503","mea","1","","length","29.0","",""
"27062","13504","mea","1","","width","22.1","",""
"27063","13504","mea","1","","length","37.2","",""
"27064","13505","mea","1","","length","12.8","",""
"27065","13505","mea","1","","width","9.3","",""
"27066","13506","mea","1","","length","65.0","",""
"27067","13506","mea","1","","width","42.3","",""
"27068","13507","mea","1","","width","11.2","",""
"27069","13507","mea","1","","length","16.7","",""
"27070","13508","mea","1","","width","3.5","",""
"27071","13508","mea","1","","length","7.4","",""
"27973","13963","mea","1","","length","200","",""
"27974","13963","mea","1","","height","50","",""
"27975","13963","mea","1","","width","350","",""
"27976","13963","mea","1","","diagonal","275","",""
"29277","14642","mea","1","","height","12.38","",""
"29278","14642","mea","1","","width","5.26","",""
"29279","14643","mea","1","","width","5.07","",""
"29280","14643","mea","1","","height","5.63","",""
"29303","14656","mea","1","","width","3.88","",""
"29304","14656","mea","1","","height","14.13","",""
"29305","14657","mea","1","","width","4.94","",""
"29306","14657","mea","1","","height","30.33","",""
"29352","14685","mea","1","","width","7.3","",""
"29353","14685","mea","1","","height","4.0","",""
"29354","14686","mea","1","","width","2.5","",""
"29355","14686","mea","1","","height","1.7","",""
"29357","14688","mea","1","","height","31.51","",""
"29358","14688","mea","1","","width","29.69","",""
"29359","14689","mea","1","","height","25.83","",""
"29360","14689","mea","1","","width","25.87","",""
"29361","14690","mea","1","","height","29.95","",""
"29362","14690","mea","1","","width","28.45","",""
"29363","14691","mea","1","","height","33.86","",""
"29364","14691","mea","1","","width","32.37","",""
"29365","14692","mea","1","","height","31.98","",""
"29366","14692","mea","1","","width","30.77","",""
"29367","14693","mea","1","","height","32.99","",""
"29368","14693","mea","1","","width","32.88","",""
"29369","14694","mea","1","","height","28.94","",""
"29370","14694","mea","1","","width","27.94","",""
"29371","14695","mea","1","","height","34.24","",""
"29372","14695","mea","1","","width","32.99","",""
"29373","14696","mea","1","","height","28.01","",""
"29374","14696","mea","1","","width","25.96","",""
"29375","14697","mea","1","","height","21.22","",""
"29376","14697","mea","1","","width","20.68","",""
"29377","14698","mea","1","","height","27.22","",""
"29378","14698","mea","1","","width","26.5","",""
"29379","14699","mea","1","","height","31.56","",""
"29380","14699","mea","1","","width","31.03","",""
"29381","14700","mea","1","","height","30.8","",""
"29382","14700","mea","1","","width","29.01","",""
"29383","14701","mea","1","","height","33.88","",""
"29384","14701","mea","1","","width","32.03","",""
"29385","14702","mea","1","","height","30.8","",""
"29386","14702","mea","1","","width","28.6","",""
"29387","14703","mea","1","","height","35.6","",""
"29388","14703","mea","1","","width","35.01","",""
"29389","14704","mea","1","","height","33.96","",""
"29390","14704","mea","1","","width","32.3","",""
"29391","14705","mea","1","","height","34.27","",""
"29392","14705","mea","1","","width","33.95","",""
"29393","14706","mea","1","","height","33.0","",""
"29394","14706","mea","1","","width","32.63","",""
"29395","14707","mea","1","","width","28.9","",""
"29396","14708","mea","1","","width","32.62","",""
"29397","14709","mea","1","","height","20.65","",""
"29398","14710","mea","1","","height","31.89","",""
"29399","14710","mea","1","","width","32.38","",""
"29400","14711","mea","1","","height","30.67","",""
"29401","14711","mea","1","","width","30.4","",""
"29402","14712","mea","1","","height","30.64","",""
"29403","14712","mea","1","","width","29.4","",""
"29404","14713","mea","1","","height","36.88","",""
"29405","14713","mea","1","","width","37.33","",""
"29406","14714","mea","1","","height","38.34","",""
"29407","14714","mea","1","","width","37.68","",""
"29408","14715","mea","1","","height","18","",""
"29409","14715","mea","1","","width","19.3","",""
"29410","14716","mea","1","","height","13.1","",""
"29411","14716","mea","1","","width","16.6","",""
"29412","14717","mea","1","","height","13","",""
"29413","14717","mea","1","","width","17.1","",""
"29414","14718","mea","1","","height","18","",""
"29415","14718","mea","1","","width","19.3","",""
"29416","14719","mea","1","","height","13.1","",""
"29417","14719","mea","1","","width","16.6","",""
"29418","14720","mea","1","","height","13","",""
"29419","14720","mea","1","","width","17.1","",""
"29420","14721","mea","1","","height","10.41","",""
"29421","14721","mea","1","","width","3.77","",""
"29422","14722","mea","1","","height","10.41","",""
"29423","14722","mea","1","","width","3.77","",""
"29424","14723","mea","1","","height","16.1","",""
"29425","14723","mea","1","","width","19.3","",""
"29426","14724","mea","1","","height","24.7","",""
"29427","14724","mea","1","","width","34.4","",""
"29428","14725","mea","1","","height","24.54","",""
"29429","14725","mea","1","","width","27.9","",""
"29430","14726","mea","1","","height","24.5","",""
"29431","14726","mea","1","","width","27.7","",""
"29432","14727","mea","1","","height","22.9","",""
"29433","14727","mea","1","","width","25.6","",""
"29434","14728","mea","1","","height","20.3","",""
"29435","14728","mea","1","","width","25.7","",""
"29436","14729","mea","1","","height","20.3","",""
"29437","14729","mea","1","","width","24","",""
"29438","14730","mea","1","","height","20.2","",""
"29439","14730","mea","1","","width","25.7","",""
"29440","14731","mea","1","","height","19.6","",""
"29441","14731","mea","1","","width","24.4","",""
"29442","14732","mea","1","","height","19","",""
"29443","14732","mea","1","","width","23.6","",""
"29444","14733","mea","1","","height","18","",""
"29445","14733","mea","1","","width","22.4","",""
"29446","14734","mea","1","","height","17.8","",""
"29447","14734","mea","1","","width","20.9","",""
"29448","14735","mea","1","","height","17.1","",""
"29449","14735","mea","1","","width","21.6","",""
"29450","14736","mea","1","","height","17","",""
"29451","14736","mea","1","","width","20.2","",""
"29452","14737","mea","1","","height","15.45","",""
"29453","14737","mea","1","","width","18.7","",""
"29454","14738","mea","1","","height","14.7","",""
"29455","14738","mea","1","","width","18.5","",""
"29456","14739","mea","1","","height","14.5","",""
"29457","14739","mea","1","","width","18.4","",""
"29458","14740","mea","1","","height","14","",""
"29459","14740","mea","1","","width","16.8","",""
"29460","14741","mea","1","","height","13.8","",""
"29461","14741","mea","1","","width","15.8","",""
"29462","14742","mea","1","","height","8.9","",""
"29463","14742","mea","1","","width","10.4","",""
"29464","14743","mea","1","","width","3.67","",""
"29465","14743","mea","1","","height","3.88","",""
"29466","14744","mea","1","","height","3.17","",""
"29467","14745","mea","1","","width","3.89","",""
"29468","14745","mea","1","","height","4.23","",""
"29469","14746","mea","1","","width","10.88","",""
"29470","14747","mea","1","","width","8.78","",""
"29471","14748","mea","1","","width","8.06","",""
"29472","14749","mea","1","","width","10.71","",""
"29473","14749","mea","1","","height","41.73","",""
"29474","14750","mea","1","","width","10.51","",""
"29475","14750","mea","1","","height","38.87","",""
"29476","14751","mea","1","","width","9.55","",""
"29477","14751","mea","1","","height","37.53","",""
"29478","14752","mea","1","","width","19.5","",""
"29479","14753","mea","1","","height","29.2","",""
"29480","14754","mea","1","","height","22.4","",""
"29481","14755","mea","1","","height","20.7","",""
"29482","14756","mea","1","","width","26.2","",""
"29483","14756","mea","1","","height","25.8","",""
"29484","14757","mea","1","","width","24.5","",""
"29485","14757","mea","1","","height","25.6","",""
"29486","14758","mea","1","","width","18.8","",""
"29487","14758","mea","1","","height","17.7","",""
"29498","14764","mea","1","","height","2.9","",""
"29499","14764","mea","1","","width","4.5","",""
"29500","14765","mea","1","","width","2.9","",""
"29501","14765","mea","1","","height","2.9","",""
"29502","14766","mea","1","","width","1.2","",""
"29503","14766","mea","1","","height","2.8","",""
"29504","14767","mea","1","","width","2.7","",""
"29505","14767","mea","1","","height","2.7","",""
"29506","14768","mea","1","","width","1.2","",""
"29507","14768","mea","1","","height","2.6","",""
"29508","14769","mea","1","","height","12.6","",""
"29509","14769","mea","1","","width","5.7","",""
"29510","14770","mea","1","","height","5.2","",""
"29527","14779","mea","1","","height","8","",""
"29528","14780","mea","1","","height","2.1","",""
"29529","14781","mea","1","","width","2.5","",""
"29530","14781","mea","1","","height","1.7","",""
"29531","14782","mea","1","","height","5.3","",""
"29532","14782","mea","1","","width","8.7","",""
"29533","14783","mea","1","","width","3.3","",""
"29534","14784","mea","1","","width","1.8","",""
"29535","14785","mea","1","","height","3.3","",""
"29536","14785","mea","1","","width","2.7","",""
"29537","14786","mea","1","","height","6.7","",""
"29538","14786","mea","1","","width","6","",""
"29539","14787","mea","1","","height","2.9","",""
"29540","14787","mea","1","","width","3.3","",""
"29541","14788","mea","1","","height","1.7","",""
"29542","14788","mea","1","","width","1.4","",""
"29543","14789","mea","1","","height","1.5","",""
"29544","14789","mea","1","","width","1.7","",""
"29545","14790","mea","1","","height","11.5","",""
"29546","14791","mea","1","","width","11.3","",""
"29547","14792","mea","1","","width","7.8","",""
"29548","14793","mea","1","","width","8","",""
"29549","14794","mea","1","","height","9.6","",""
"29550","14795","mea","1","","height","9.7","",""
"29551","14796","mea","1","","height","7.4","",""
"29552","14797","mea","1","","height","7.7","",""
"29553","14797","mea","1","","width","6.6","",""
"29554","14798","mea","1","","height","6.6","",""
"29555","14798","mea","1","","width","5.9","",""
"29556","14799","mea","1","","height","8.4","",""
"29557","14799","mea","1","","width","9.1","",""
"29558","14800","mea","1","","height","8.9","",""
"29559","14800","mea","1","","width","10","",""
"29560","14801","mea","1","","height","6.5","",""
"29561","14801","mea","1","","width","7","",""
"29564","14803","mea","1","","width","42.9","",""
"29566","14805","mea","1","","width","13.1","",""
"29567","14805","mea","1","","height","16.7","",""
"29568","14806","mea","1","","height","42.6","",""
"29569","14806","mea","1","","width","28.9","",""
"29586","14815","mea","1","","height","0.4","",""
"29587","14815","mea","1","","width","0.4","",""
"29588","14816","mea","1","","height","1","",""
"29589","14816","mea","1","","width","6","",""
"29590","14817","mea","1","","height","1.8","",""
"29591","14817","mea","1","","width","0.2","",""
"29592","14818","mea","1","","height","9.7","",""
"29593","14818","mea","1","","width","8.3","",""
"29594","14819","mea","1","","width","16.1","",""
"29595","14819","mea","1","","height","10","",""
"29596","14820","mea","1","","height","18.7","",""
"29597","14820","mea","1","","width","17.4","",""
"29598","14821","mea","1","","width","25.5","",""
"29599","14821","mea","1","","height","26.4","",""
"29600","14822","mea","1","","width","33.2","",""
"29601","14822","mea","1","","height","34.2","",""
"29602","14823","mea","1","","width","29.4","",""
"29603","14823","mea","1","","height","32.9","",""
"29604","14824","mea","1","","width","32.2","",""
"29605","14824","mea","1","","height","32.2","",""
"29606","14825","mea","1","","height","32.1","",""
"29607","14826","mea","1","","height","31.6","",""
"29608","14827","mea","1","","width","27.7","",""
"29609","14827","mea","1","","height","31.5","",""
"29610","14828","mea","1","","height","31","",""
"29611","14829","mea","1","","width","29.3","",""
"29612","14829","mea","1","","height","30.8","",""
"29613","14830","mea","1","","width","30.1","",""
"29614","14830","mea","1","","height","30.7","",""
"29615","14831","mea","1","","height","30.6","",""
"29616","14832","mea","1","","height","30.4","",""
"29617","14833","mea","1","","width","34.1","",""
"29618","14833","mea","1","","height","30.3","",""
"29619","14834","mea","1","","height","18.5","",""
"29620","14835","mea","1","","width","18.2","",""
"29621","14835","mea","1","","height","17","",""
"29622","14836","mea","1","","height","5.9","",""
"29623","14837","mea","1","","width","5","",""
"29624","14837","mea","1","","height","5","",""
"29625","14838","mea","1","","height","2.8","",""
"29626","14839","mea","1","","width","4.4","",""
"29627","14839","mea","1","","height","2.8","",""
"29628","14840","mea","1","","width","1.9","",""
"29629","14840","mea","1","","height","2.4","",""
"29630","14841","mea","1","","width","0.9","",""
"29631","14841","mea","1","","height","1.6","",""
"29632","14842","mea","1","","width","2.6","",""
"29633","14842","mea","1","","height","1.2","",""
"29634","14843","mea","1","","width","1.4","",""
"29635","14843","mea","1","","height","1.2","",""
"29636","14844","mea","1","","height","0.7","",""
"29637","14845","mea","1","","width","1","",""
"29638","14845","mea","1","","height","0.5","",""
"29639","14846","mea","1","","width","0.5","",""
"29640","14846","mea","1","","height","0.4","",""
"29641","14847","mea","1","","width","0.8","",""
"29642","14847","mea","1","","height","0.4","",""
"29643","14848","mea","1","","width","30.7","",""
"29644","14849","mea","1","","width","24.1","",""
"29645","14850","mea","1","","width","23.9","",""
"29646","14851","mea","1","","width","12.1","",""
"29647","14852","mea","1","","width","10.6","",""
"29648","14853","mea","1","","width","3.7","",""
"29649","14854","mea","1","","width","17.1","",""
"29650","14855","mea","1","","width","16","",""
"29651","14856","mea","1","","width","30","",""
"29652","14856","mea","1","","height","28.7","",""
"29681","14871","mea","1","","height","6.7","",""
"29682","14872","mea","1","","height","5.2","",""
"29687","14875","mea","1","","width","5.2","",""
"29688","14875","mea","1","","height","5.1","",""
"29689","14876","mea","1","","width","4.5","",""
"29690","14876","mea","1","","height","4.4","",""
"29691","14877","mea","1","","width","1.4","",""
"29692","14877","mea","1","","height","1.1","",""
"29693","14878","mea","1","","width","0.6","",""
"29694","14878","mea","1","","height","0.6","",""
"29695","14879","mea","1","","width","0.4","",""
"29696","14879","mea","1","","height","0.2","",""
"29706","14885","mea","1","","height","4.1","",""
"29707","14886","mea","1","","width","4.5","",""
"29708","14886","mea","1","","height","4","",""
"29709","14887","mea","1","","height","2.3","",""
"29710","14887","mea","1","","width","2.5","",""
"29711","14888","mea","1","","height","2.3","",""
"29712","14888","mea","1","","width","2.1","",""
"29713","14889","mea","1","","height","1.1","",""
"29714","14889","mea","1","","width","1.3","",""
"29715","14890","mea","1","","width","0.7","",""
"29716","14890","mea","1","","height","1.2","",""
"29717","14891","mea","1","","width","15","",""
"29718","14892","mea","1","","width","7.9","",""
"29719","14893","mea","1","","width","8","",""
"29720","14894","mea","1","","width","9.6","",""
"29729","14899","mea","1","","height","2.1","",""
"29730","14899","mea","1","","width","1.9","",""
"29731","14900","mea","1","","height","1.8","",""
"29732","14900","mea","1","","width","1.7","",""
"29733","14901","mea","1","","height","1.7","",""
"29734","14901","mea","1","","width","1.5","",""
"29735","14902","mea","1","","height","1.5","",""
"29736","14902","mea","1","","width","1.3","",""
"29737","14903","mea","1","","height","1.5","",""
"29738","14903","mea","1","","width","1.6","",""
"29739","14904","mea","1","","height","1.4","",""
"29740","14904","mea","1","","width","1.1","",""
"29741","14905","mea","1","","width","3.5","",""
"29742","14906","mea","1","","height","4.9","",""
"29743","14906","mea","1","","width","2.3","",""
"29744","14907","mea","1","","height","5.4","",""
"29745","14907","mea","1","","width","8.7","",""
"29764","14917","mea","1","","width","3.1","",""
"29798","14935","mea","1","","height","0.4","",""
"29799","14935","mea","1","","width","0.3","",""
"29800","14936","mea","1","","height","1.5","",""
"29801","14936","mea","1","","width","1.4","",""
"29802","14937","mea","1","","height","1.7","",""
"29803","14937","mea","1","","width","1.3","",""
"29804","14938","mea","1","","height","0.4","",""
"29805","14938","mea","1","","width","0.3","",""
"29806","14939","mea","1","","height","1.8","",""
"29807","14939","mea","1","","width","0.9","",""
"29808","14940","mea","1","","height","1.4","",""
"29809","14940","mea","1","","width","1","",""
"29810","14941","mea","1","","height","4.4","",""
"29811","14942","mea","1","","height","4.2","",""
"29812","14943","mea","1","","height","3.7","",""
"29813","14944","mea","1","","height","4.2","",""
"29814","14944","mea","1","","width","5.1","",""
"29815","14945","mea","1","","height","4","",""
"29816","14945","mea","1","","width","5.5","",""
"29817","14946","mea","1","","height","25.3","",""
"29818","14946","mea","1","","width","31.7","",""
"29819","14947","mea","1","","height","30.3","",""
"29820","14947","mea","1","","width","35","",""
"29821","14948","mea","1","","height","23.8","",""
"29822","14949","mea","1","","height","24.6","",""
"29823","14950","mea","1","","height","19.5","",""
"29824","14951","mea","1","","height","12.5","",""
"29825","14952","mea","1","","width","30.5","",""
"29826","14952","mea","1","","height","27.8","",""
"29827","14953","mea","1","","width","1.4","",""
"29828","14953","mea","1","","height","2.5","",""
"29829","14954","mea","1","","height","2.2","",""
"29830","14954","mea","1","","width","2.5","",""
"29835","14957","mea","1","","width","0.7","",""
"29836","14957","mea","1","","height","2.4","",""
"29837","14958","mea","1","","height","7","",""
"29838","14959","mea","1","","width","9.3","",""
"29839","14959","mea","1","","height","5.3","",""
"29840","14960","mea","1","","width","3.7","",""
"29841","14960","mea","1","","height","1.6","",""
"29842","14961","mea","1","","height","5.3","",""
"29843","14961","mea","1","","width","1.6","",""
"29844","14962","mea","1","","height","3.9","",""
"29845","14962","mea","1","","width","1.3","",""
"29846","14963","mea","1","","height","3.5","",""
"29847","14963","mea","1","","width","1.3","",""
"29848","14964","mea","1","","height","1.9","",""
"29849","14964","mea","1","","width","1.3","",""
"29850","14965","mea","1","","width","1.8","",""
"29851","14966","mea","1","","width","15.7","",""
"29852","14966","mea","1","","height","21.4","",""
"29853","14967","mea","1","","width","7.5","",""
"29854","14967","mea","1","","height","11.6","",""
"29855","14968","mea","1","","height","10.6","",""
"29856","14969","mea","1","","width","6.8","",""
"29857","14969","mea","1","","height","7.7","",""
"29858","14970","mea","1","","width","2.7","",""
"29859","14970","mea","1","","height","3","",""
"29860","14971","mea","1","","width","2.5","",""
"29861","14971","mea","1","","height","2.6","",""
"29862","14972","mea","1","","width","1.3","",""
"29863","14972","mea","1","","height","1","",""
"29864","14973","mea","1","","height","3.3","",""
"29865","14973","mea","1","","width","1.4","",""
"29866","14974","mea","1","","height","3.7","",""
"29867","14974","mea","1","","width","1.7","",""
"29868","14975","mea","1","","height","5.6","",""
"29869","14975","mea","1","","width","1.9","",""
"29870","14976","mea","1","","height","5.5","",""
"29871","14976","mea","1","","width","2","",""
"29872","14977","mea","1","","width","12.1","",""
"29873","14977","mea","1","","height","31.7","",""
"29874","14978","mea","1","","width","4","",""
"29875","14978","mea","1","","height","3.6","",""
"29876","14979","mea","1","","width","6.1","",""
"29877","14979","mea","1","","height","5.5","",""
"29878","14980","mea","1","","width","3.5","",""
"29879","14980","mea","1","","height","2.8","",""
"29880","14981","mea","1","","width","28.7","",""
"29881","14981","mea","1","","height","19.1","",""
"29888","14985","mea","1","","height","2.5","",""
"29889","14985","mea","1","","width","1.3","",""
"29890","14986","mea","1","","height","7.9","",""
"29891","14986","mea","1","","width","3.9","",""
"29892","14987","mea","1","","width","7","",""
"29893","14988","mea","1","","height","3.1","",""
"29894","14988","mea","1","","width","1.3","",""
"29895","14989","mea","1","","width","1.1","",""
"29896","14990","mea","1","","width","1.2","",""
"29897","14991","mea","1","","width","1.1","",""
"29898","14991","mea","1","","height","3.1","",""
"29899","14992","mea","1","","width","1.5","",""
"29900","14992","mea","1","","height","4.1","",""
"29901","14993","mea","1","","width","1.3","",""
"29902","14993","mea","1","","height","2.3","",""
